IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Sep 4, 2020",CAPA,HighCape Capital Acquisition Corp.,10,10.68,0.107,Blank Check / SPAC,Blank Check / SPAC,
"Sep 4, 2020",TWND,Tailwind Acquisition Corp.,10,9.91,-0.009,Blank Check / SPAC,Blank Check / SPAC,United States
"Sep 3, 2020",INAQ.D,INSU Acquisition Corp. II,10,18,0.180,Blank Check / SPAC,Blank Check / SPAC,
"Sep 3, 2020",BCTG,BCTG Acquisition Corp.,10,10.2,0.102,Blank Check / SPAC,Blank Check / SPAC,
"Sep 2, 2020",CMLF,"CM Life Sciences, Inc.",10,11.6,0.116,,,
"Sep 1, 2020",PRFX,PainReform Ltd.,8,1.25,-0.844,Health Care,Drug Manufacturers-Specialty & Generic,United States
"Aug 31, 2020",AUVI,"Applied UV, Inc.",5,1.18,-0.764,Industrials,Building Products,United States
"Aug 28, 2020",HCDI,"Harbor Custom Development, Inc.",6,2.55,-0.575,Real Estate,Real Estate-Development,United States
"Aug 28, 2020",GP,"GreenPower Motor Company, Inc.",20,6.48,-0.676,Industrials,Machinery,United States
"Aug 27, 2020",XPEV,XPeng Inc.,15,23.99,0.599,Consumer Discretionary,Automobiles,United States
"Aug 27, 2020",CFII,CF Finance Acquisition Corp. II,10,9.19,0.092,Blank Check / SPAC,Blank Check / SPAC,
"Aug 27, 2020",BTAQ,Burgundy Technology Acquisition Corporation,10,10.04,0.004,Blank Check / SPAC,Blank Check / SPAC,United States
"Aug 26, 2020",FTOC,FTAC Olympus Acquisition Corp.,10,10.76,0.108,Blank Check / SPAC,Blank Check / SPAC,
"Aug 21, 2020",HZAC,Horizon Acquisition Corp.,10,12.29,0.123,Blank Check / SPAC,Blank Check / SPAC,
"Aug 21, 2020",NNOX,Nano-X Imaging Ltd.,18,9.98,-0.446,Health Care,Health Care Equipment & Supplies,United States
"Aug 21, 2020",FST,FAST Acquisition Corp.,10,10.085,0.009,Blank Check / SPAC,Blank Check / SPAC,United States
"Aug 21, 2020",KYMR,"Kymera Therapeutics, Inc.",20,34.16,0.708,Health Care,Biotechnology,United States
"Aug 21, 2020",CLA,Colonnade Acquisition,10,12,0.120,Blank Check / SPAC,Blank Check / SPAC,
"Aug 19, 2020",HRMY,"Harmony Biosciences Holdings, Inc.",24,50.91,1.121,Health Care,Biotechnology,United States
"Aug 19, 2020",BFT,Foley Trasimene Acquisition II,10,15.1,0.151,Blank Check / SPAC,Blank Check / SPAC,
"Aug 19, 2020",INBX,"Inhibrx, Inc.",17,16.72,-0.017,Health Care,Biotechnology,United States
"Aug 18, 2020",NGA,Northern Genesis Acquisition Corp.,10,16.17,0.162,Blank Check / SPAC,Blank Check / SPAC,
"Aug 18, 2020",FIII,Forum Merger III Corporation,10,10.19,0.102,,,
"Aug 18, 2020",STPK,Star Peak Energy Transition Corp.,10,26.61,0.266,,,
"Aug 18, 2020",AONE,One,10,8.56,0.086,,,
"Aug 14, 2020",DGNR,Dragoneer Growth Opportunities Corp.,10,9.26,0.093,,,
"Aug 14, 2020",DCT,"Duck Creek Technologies, Inc.",27,15.91,-0.411,Information Technology,Software,United States
"Aug 14, 2020",DMYD,"dMY Technology Group, Inc. II",10,16.21,0.162,,,
"Aug 14, 2020",LCAP,Lionheart Acquisition Corp. II,10,10.14,0.014,Blank Check / SPAC,Blank Check / SPAC,United States
"Aug 14, 2020",CVAC,CureVac N.V.,16,16.48,0.030,Health Care,Biotechnology,Germany
"Aug 13, 2020",NTST,NetSTREIT Corp.,18,23.195,0.289,Real Estate,Equity Real Estate Investment Trusts (REITs),United States
"Aug 13, 2020",RBAC,RedBall Acquisition Corp.,10,9.935,-0.007,Blank Check / SPAC,Blank Check / SPAC,United States
